route_id,route_code,stop_name,stop_id,stop_lat,stop_lon,heading_degrees,transfer_to_route_id,stop_type,parent_stop_id,route
152,3,Addison & Halsted,17298,41.947298,-87.649178,90,8-North^;8-South^,bus,17298,152
152,3,Addison & Hamlin,12513,41.946408,-87.72258,84,,bus,12513,152
152,3,Addison & Harlem,17358,41.94524,-87.806693,102,90-North^;90-South^,bus,17358,152
152,3,Addison & Hoyne,12530,41.946782,-87.68108,89,,bus,12530,152
152,3,Addison & Karlov,12510,41.946313,-87.729287,71,,bus,12510,152
152,3,Addison & Kedzie,12519,41.946647,-87.7074,90,,bus,12519,152
152,3,Addison & Keeler,12509,41.946267,-87.732387,89,,bus,12509,152
152,3,Addison & Kenton,12505,41.946137,-87.741738,90,,bus,12505,152
152,3,Addison & Kilbourn,15773,41.946169,-87.739389,90,,bus,15773,152
152,3,Addison & Kilpatrick,12504,41.946103,-87.744128,90,,bus,12504,152
152,3,Addison & Kimball,17832,41.946543,-87.71228,88,82-North^;82-South^,bus,17832,152
152,3,Addison & Kostner,12507,41.946194,-87.737349,90,,bus,12507,152
152,3,Addison & Lake Shore,12548,41.948475,-87.64406,68,,bus,12548,152
152,3,Addison & Lakewood,12539,41.947108,-87.661767,87,,bus,12539,152
152,3,Addison & Lamon,12502,41.94606,-87.749505,90,,bus,12502,152
152,3,Addison & Laramie,12499,41.945948,-87.757023,85,,bus,12499,152
152,3,Addison & Lavergne,12501,41.946012,-87.75216,87,,bus,12501,152
152,3,Addison & Lawndale/Avondale,12514,41.946433,-87.720132,87,,bus,12514,152
152,3,Addison & Leavitt,12529,41.946782,-87.683512,89,,bus,12529,152
152,3,Addison & Leclaire,12500,41.945988,-87.754322,81,,bus,12500,152
152,3,Addison & Lincoln,12534,41.946942,-87.67318,100,,bus,12534,152
152,3,Addison & Linder,12496,41.945877,-87.76443,90,,bus,12496,152
152,3,Addison & Lockwood,12498,41.945932,-87.759455,83,,bus,12498,152
152,3,Addison & Long,12497,41.945892,-87.76195,90,,bus,12497,152
152,3,Addison & Major,12494,41.945813,-87.769373,90,,bus,12494,152
152,3,Addison & Marmora,12492,41.945765,-87.774173,83,,bus,12492,152
152,3,Addison & Meade,12490,41.945733,-87.779148,78,,bus,12490,152
152,3,Addison & Melvina,12489,41.945685,-87.781533,75,,bus,12489,152
152,3,Addison & Menard,12493,41.945797,-87.771727,87,,bus,12493,152
152,3,Addison & Milwaukee,12508,41.946233,-87.734993,89,,bus,12508,152
152,3,Addison & Mobile,12488,41.945662,-87.783948,83,,bus,12488,152
152,3,Addison & Narragansett,15698,41.945598,-87.785857,79,86-North^;86-South^,bus,15698,152
152,3,Addison & Neenah,12485,41.945535,-87.790212,90,,bus,12485,152
152,3,Addison & New England,12481,41.9454,-87.798588,97,,bus,12481,152
152,3,Addison & Nordica,12479,41.945288,-87.803483,87,,bus,12479,152
152,3,Addison & Normandy,12483,41.945512,-87.793692,100,,bus,12483,152
152,3,Addison & Oak Park,17145,41.945415,-87.795743,85,,bus,17145,152
152,3,Addison & Oakley,18651,41.946709,-87.685359,90,,bus,18651,152
152,3,Addison & Octavia,12476,41.945168,-87.809587,89,,bus,12476,152
152,3,Addison & Oketo,12475,41.94513,-87.812018,89,,bus,12475,152
152,3,Addison & Olcott,12474,41.94509,-87.814513,89,,bus,12474,152
152,3,Addison & Orange,12470,41.94505,-87.824353,83,,bus,12470,152
152,3,Addison & Oriole,12473,41.945177,-87.816947,96,,bus,12473,152
152,3,Addison & Overhill,12472,41.945208,-87.81941,80,,bus,12472,152
152,3,Addison & Ozanam,12471,41.945137,-87.821857,82,,bus,12471,152
152,3,Addison & Panama,15960,41.944947,-87.828692,84,,bus,15960,152
152,3,Addison & Paris,12466,41.944892,-87.830503,90,,bus,12466,152
152,3,Addison & Paulina,12535,41.946925,-87.671432,84,,bus,12535,152
152,3,Addison & Pine Grove,12547,41.947792,-87.645745,47,,bus,12547,152
152,3,Addison & Pittsburgh,12464,41.944788,-87.832952,88,,bus,12464,152
152,3,Addison & Pulaski,16174,41.946345,-87.727093,85,53-North^;53-South^,bus,16174,152
152,3,Addison & Racine,14903,41.947163,-87.6587,87,,bus,14903,152
152,3,Addison & Rockwell,12524,41.946718,-87.694272,90,94-South^,bus,12524,152
152,3,Addison & Sacramento,12521,41.94664,-87.703062,88,,bus,12521,152
152,3,Addison & Sayre,12480,41.945352,-87.800558,88,,bus,12480,152
152,3,Addison & Southport,12538,41.947037,-87.6642,78,,bus,12538,152
152,3,Addison & Springfield,12512,41.946402,-87.72506,90,,bus,12512,152
152,3,Addison & St. Louis,12516,41.946512,-87.715205,123,,bus,12516,152
152,3,Addison & Western,12527,41.946718,-87.688438,90,49-North^;49-South^;X49-North^+;X49-South^+,bus,12527,152
152,3,Addison & Wolcott,12532,41.946847,-87.676232,89,,bus,12532,152
152,3,Addison Blue Line Station,12515,41.946465,-87.717812,90,Blue*,bus,12515,152
152,3,Addison Brown Line Station,12533,41.946893,-87.67469,87,Brown*,bus,12533,152
152,3,Addison Red Line Station,12543,41.947163,-87.653392,70,Red*,bus,12543,152
152,3,Lake Shore & Waveland,1163,41.95036,-87.644422,337,135-North^+;135-South^+;146-North^+;146-South^+;151-North^;151-South^,bus,1163,152
152,4,Addison & Albany,12577,41.946687,-87.705287,263,,bus,12577,152
152,4,Addison & Ashland,12560,41.947045,-87.66865,270,9-North^;9-South^;X9-North^+;X9-South^+,bus,12560,152
152,4,Addison & Austin,17222,41.945828,-87.77694,264,91-North^;91-South^,bus,17222,152
